t, v
-0.008483, 1.488330
-0.008485, 1.488330
-0.008486, 1.465234
-0.008488, 1.465234
-0.008490, 1.488330
-0.008491, 1.419043
-0.008493, 1.419043
-0.008495, 1.465234
-0.008496, 1.465234
-0.008498, 1.465234
-0.008499, 1.395947
-0.008501, 1.395947
-0.008503, 1.395947
-0.008504, 1.442139
-0.008506, 1.442139
-0.008508, 1.349756
-0.008509, 1.349756
-0.008511, 1.326660
-0.008513, 1.349756
-0.008514, 1.349756
-0.008516, 1.280469
-0.008518, 1.280469
-0.008519, 1.280469
-0.008521, 1.280469
-0.008522, 1.280469
-0.008524, 1.211182
-0.008526, 1.234277
-0.008527, 1.234277
-0.008529, 1.188086
-0.008531, 1.188086
-0.008532, 1.164990
-0.008534, 1.164990
-0.008536, 1.164990
-0.008537, 1.141895
-0.008539, 1.141895
-0.008540, 1.118799
-0.008542, 1.118799
-0.008544, 1.118799
-0.008545, 1.095703
-0.008547, 1.095703
-0.008549, 1.095703
-0.008550, 1.072607
-0.008552, 1.072607
-0.008554, 1.072607
-0.008555, 1.026416
-0.008557, 1.026416
-0.008559, 1.026416
-0.008560, 1.026416
-0.008562, 1.049512
-0.008563, 0.980225
-0.008565, 0.980225
-0.008567, 1.003320
-0.008568, 1.095703
-0.008570, 1.095703
-0.008572, 0.957129
-0.008573, 0.957129
-0.008575, 0.980225
-0.008577, 1.003320
-0.008578, 1.003320
-0.008580, 0.910937
-0.008582, 0.910937
-0.008583, 0.910937
-0.008585, 0.910937
-0.008586, 0.910937
-0.008588, 0.864746
-0.008590, 0.864746
-0.008591, 0.841650
-0.008593, 0.841650
-0.008595, 0.841650
-0.008596, 0.818555
-0.008598, 0.795459
-0.008600, 0.795459
-0.008601, 0.772363
-0.008603, 0.772363
-0.008605, 0.749268
-0.008606, 0.772363
-0.008608, 0.772363
-0.008609, 0.703076
-0.008611, 0.703076
-0.008613, 0.703076
-0.008614, 0.726172
-0.008616, 0.726172
-0.008618, 0.656885
-0.008619, 0.656885
-0.008621, 0.656885
-0.008623, 0.703076
-0.008624, 0.703076
-0.008626, 0.587598
-0.008628, 0.587598
-0.008629, 0.587598
-0.008631, 0.656885
-0.008632, 0.656885
-0.008634, 0.564502
-0.008636, 0.541406
-0.008637, 0.541406
-0.008639, 0.564502
-0.008641, 0.495215
-0.008642, 0.495215
-0.008644, 0.495215
-0.008646, 0.495215
-0.008647, 0.495215
-0.008649, 0.472119
-0.008650, 0.472119
-0.008652, 0.449023
-0.008654, 0.449023
-0.008655, 0.425928
-0.008657, 0.402832
-0.008659, 0.402832
-0.008660, 0.425928
-0.008662, 0.425928
-0.008664, 0.379736
-0.008665, 0.356641
-0.008667, 0.356641
-0.008669, 0.402832
-0.008670, 0.356641
-0.008672, 0.356641
-0.008673, 0.310449
-0.008675, 0.310449
-0.008677, 0.333545
-0.008678, 0.356641
-0.008680, 0.356641
-0.008682, 0.287354
-0.008683, 0.287354
-0.008685, 0.310449
-0.008687, 0.333545
-0.008688, 0.333545
-0.008690, 0.264258
-0.008692, 0.264258
-0.008693, 0.264258
-0.008695, 0.287354
-0.008696, 0.287354
-0.008698, 0.194971
-0.008700, 0.218066
-0.008701, 0.218066
-0.008703, 0.241162
-0.008705, 0.241162
-0.008706, 0.148779
-0.008708, 0.148779
-0.008710, 0.148779
-0.008711, 0.194971
-0.008713, 0.148779
-0.008715, 0.148779
-0.008716, 0.125684
-0.008718, 0.125684
-0.008719, 0.148779
-0.008721, 0.102588
-0.008723, 0.102588
-0.008724, 0.125684
-0.008726, 0.125684
-0.008728, 0.102588
-0.008729, 0.102588
-0.008731, 0.102588
-0.008733, 0.102588
-0.008734, 0.102588
-0.008736, 0.079492
-0.008738, 0.079492
-0.008739, 0.079492
-0.008741, 0.102588
-0.008742, 0.056396
-0.008744, 0.056396
-0.008746, 0.033301
-0.008747, 0.033301
-0.008749, 0.079492
-0.008751, 0.033301
-0.008752, 0.033301
-0.008754, 0.033301
-0.008756, 0.033301
-0.008757, 0.033301
-0.008759, -0.012891
-0.008760, -0.012891
-0.008762, 0.010205
-0.008764, 0.010205
-0.008765, 0.010205
-0.008767, -0.012891
-0.008769, -0.012891
-0.008770, -0.012891
-0.008772, -0.035986
-0.008774, -0.035986
-0.008775, -0.035986
-0.008777, -0.035986
-0.008779, -0.035986
-0.008780, -0.035986
-0.008782, -0.035986
-0.008783, -0.035986
-0.008785, -0.035986
-0.008787, -0.059082
-0.008788, -0.035986
-0.008790, -0.035986
-0.008792, -0.082178
-0.008793, -0.059082
-0.008795, -0.059082
-0.008797, -0.035986
-0.008798, -0.035986
-0.008800, -0.059082
-0.008802, -0.035986
-0.008803, -0.035986
-0.008805, -0.059082
-0.008806, -0.059082
-0.008808, -0.035986
-0.008810, -0.082178
-0.008811, -0.082178
-0.008813, -0.059082
-0.008815, -0.059082
-0.008816, -0.059082
-0.008818, -0.035986
-0.008820, -0.035986
-0.008821, -0.035986
-0.008823, -0.059082
-0.008825, -0.059082
-0.008826, -0.035986
-0.008828, -0.035986
-0.008829, -0.035986
-0.008831, -0.059082
-0.008833, -0.059082
-0.008834, -0.059082
-0.008836, -0.035986
-0.008838, -0.035986
-0.008839, -0.035986
-0.008841, -0.035986
-0.008843, -0.035986
-0.008844, -0.035986
-0.008846, -0.035986
-0.008848, -0.035986
-0.008849, -0.035986
-0.008851, -0.035986
-0.008852, -0.035986
-0.008854, -0.035986
-0.008856, -0.035986
-0.008857, -0.035986
-0.008859, -0.035986
-0.008861, 0.010205
-0.008862, 0.010205
-0.008864, 0.010205
-0.008866, 0.010205
-0.008867, 0.010205
-0.008869, 0.010205
-0.008871, 0.010205
-0.008872, 0.033301
-0.008874, 0.010205
-0.008875, 0.010205
-0.008877, 0.010205
-0.008879, 0.010205
-0.008880, 0.033301
-0.008882, 0.010205
-0.008884, 0.010205
-0.008885, 0.056396
-0.008887, 0.056396
-0.008889, 0.056396
-0.008890, 0.056396
-0.008892, 0.056396
-0.008893, 0.079492
-0.008895, 0.079492
-0.008897, 0.079492
-0.008898, 0.102588
-0.008900, 0.102588
-0.008902, 0.102588
-0.008903, 0.102588
-0.008905, 0.102588
-0.008907, 0.148779
-0.008908, 0.148779
-0.008910, 0.148779
-0.008912, 0.125684
-0.008913, 0.125684
-0.008915, 0.171875
-0.008916, 0.148779
-0.008918, 0.148779
-0.008920, 0.148779
-0.008921, 0.148779
-0.008923, 0.194971
-0.008925, 0.194971
-0.008926, 0.194971
-0.008928, 0.194971
-0.008930, 0.194971
-0.008931, 0.194971
-0.008933, 0.241162
-0.008935, 0.241162
-0.008936, 0.241162
-0.008938, 0.194971
-0.008939, 0.194971
-0.008941, 0.287354
-0.008943, 0.287354
-0.008944, 0.264258
-0.008946, 0.218066
-0.008948, 0.218066
-0.008949, 0.310449
-0.008951, 0.310449
-0.008953, 0.333545
-0.008954, 0.264258
-0.008956, 0.264258
-0.008958, 0.356641
-0.008959, 0.356641
-0.008961, 0.356641
-0.008962, 0.333545
-0.008964, 0.333545
-0.008966, 0.425928
-0.008967, 0.425928
-0.008969, 0.425928
-0.008971, 0.425928
-0.008972, 0.425928
-0.008974, 0.449023
-0.008976, 0.472119
-0.008977, 0.472119
-0.008979, 0.495215
-0.008981, 0.495215
-0.008982, 0.472119
-0.008984, 0.472119
-0.008985, 0.472119
-0.008987, 0.541406
-0.008989, 0.518311
-0.008990, 0.518311
-0.008992, 0.518311
-0.008994, 0.518311
-0.008995, 0.587598
-0.008997, 0.564502
-0.008999, 0.564502
-0.009000, 0.541406
-0.009002, 0.541406
-0.009003, 0.633789
-0.009005, 0.587598
-0.009007, 0.587598
-0.009008, 0.679980
-0.009010, 0.679980
-0.009012, 0.679980
-0.009013, 0.656885
-0.009015, 0.656885
-0.009017, 0.726172
-0.009018, 0.749268
-0.009020, 0.749268
-0.009022, 0.726172
-0.009023, 0.726172
-0.009025, 0.772363
-0.009026, 0.772363
-0.009028, 0.772363
-0.009030, 0.818555
-0.009031, 0.841650
-0.009033, 0.841650
-0.009035, 0.818555
-0.009036, 0.818555
-0.009038, 0.887842
-0.009040, 0.887842
-0.009041, 0.887842
-0.009043, 0.887842
-0.009045, 0.887842
-0.009046, 0.934033
-0.009048, 0.934033
-0.009049, 0.934033
-0.009051, 0.934033
-0.009053, 0.934033
-0.009054, 0.934033
-0.009056, 0.980225
-0.009058, 0.980225
-0.009059, 0.980225
-0.009061, 0.910937
-0.009063, 0.910937
-0.009064, 1.026416
-0.009066, 1.026416
-0.009068, 1.049512
-0.009069, 0.980225
-0.009071, 0.980225
-0.009072, 1.095703
-0.009074, 1.095703
-0.009076, 1.095703
-0.009077, 1.026416
-0.009079, 1.026416
-0.009081, 1.141895
-0.009082, 1.141895
-0.009084, 1.141895
-0.009086, 1.118799
-0.009087, 1.118799
-0.009089, 1.188086
-0.009091, 1.211182
-0.009092, 1.211182
-0.009094, 1.234277
-0.009095, 1.234277
-0.009097, 1.257373
-0.009099, 1.280469
-0.009100, 1.280469
-0.009102, 1.303564
-0.009104, 1.303564
-0.009105, 1.303564
-0.009107, 1.303564
-0.009109, 1.303564
-0.009110, 1.372852
-0.009112, 1.372852
-0.009114, 1.372852
-0.009115, 1.372852
-0.009117, 1.372852
-0.009118, 1.419043
-0.009120, 1.419043
-0.009122, 1.419043
-0.009123, 1.395947
-0.009125, 1.395947
-0.009127, 1.465234
-0.009128, 1.465234
-0.009130, 1.465234
-0.009132, 1.419043
-0.009133, 1.511426
-0.009135, 1.511426
-0.009136, 1.488330
-0.009138, 1.488330
-0.009140, 1.465234
-0.009141, 1.534521
-0.009143, 1.534521
-0.009145, 1.557617
-0.009146, 1.557617
-0.009148, 1.534521
-0.009150, 1.580713
-0.009151, 1.580713
-0.009153, 1.603809
-0.009155, 1.603809
-0.009156, 1.603809
-0.009158, 1.650000
-0.009159, 1.650000
-0.009161, 1.650000
-0.009163, 1.673096
-0.009164, 1.673096
-0.009166, 1.673096
-0.009168, 1.673096
-0.009169, 1.673096
-0.009171, 1.719287
-0.009173, 1.719287
-0.009174, 1.696191
-0.009176, 1.719287
-0.009178, 1.719287
-0.009179, 1.719287
-0.009181, 1.719287
-0.009182, 1.765479
-0.009184, 1.765479
-0.009186, 1.765479
-0.009187, 1.742383
-0.009189, 1.742383
-0.009191, 1.811670
-0.009192, 1.765479
-0.009194, 1.765479
-0.009196, 1.719287
-0.009197, 1.719287
-0.009199, 1.834766
-0.009201, 1.834766
-0.009202, 1.834766
-0.009204, 1.811670
-0.009205, 1.880957
-0.009207, 1.880957
-0.009209, 1.857861
-0.009210, 1.857861
-0.009212, 1.857861
-0.009214, 1.880957
-0.009215, 1.880957
-0.009217, 1.904053
-0.009219, 1.904053
-0.009220, 1.927148
-0.009222, 1.950244
-0.009224, 1.950244
-0.009225, 1.927148
-0.009227, 1.950244
-0.009228, 1.950244
-0.009230, 1.973340
-0.009232, 1.973340
-0.009233, 1.950244
-0.009235, 1.973340
-0.009237, 1.973340
-0.009238, 1.973340
-0.009240, 1.973340
-0.009242, 1.996436
-0.009243, 1.996436
-0.009245, 1.996436
-0.009246, 1.996436
-0.009248, 1.996436
-0.009250, 1.996436
-0.009251, 2.019531
-0.009253, 2.019531
-0.009255, 2.019531
-0.009256, 1.996436
-0.009258, 1.996436
-0.009260, 2.042627
-0.009261, 2.042627
-0.009263, 2.042627
-0.009265, 2.042627
-0.009266, 2.042627
-0.009268, 2.065723
-0.009269, 2.065723
-0.009271, 2.065723
-0.009273, 2.042627
-0.009274, 2.042627
-0.009276, 2.065723
-0.009278, 2.065723
-0.009279, 2.065723
-0.009281, 2.065723
-0.009283, 2.065723
-0.009284, 2.042627
-0.009286, 2.042627
-0.009288, 2.042627
-0.009289, 2.088818
-0.009291, 2.088818
-0.009292, 2.088818
-0.009294, 2.065723
-0.009296, 2.065723
-0.009297, 2.088818
-0.009299, 2.088818
-0.009301, 2.088818
-0.009302, 2.088818
-0.009304, 2.088818
-0.009306, 2.065723
-0.009307, 2.065723
-0.009309, 2.065723
-0.009311, 2.088818
-0.009312, 2.088818
-0.009314, 2.088818
-0.009315, 2.088818
-0.009317, 2.088818
-0.009319, 2.088818
-0.009320, 2.088818
-0.009322, 2.088818
-0.009324, 2.088818
